theta,theta_dot,tau,J,b,k
2.760290706288054e-06,0.0002760290706288054,0.01380145353144027,0.5,0.3,1.15
6.606411685935839e-06,0.00038461209796477854,0.005516232673567085,0.5000999999833333,0.300044999998125,1.1499999520000026
1.211420819224734e-05,0.0005507796506311499,0.008434716598799206,0.5001999998666667,0.30008999998499997,1.1499998080000409
2.6152556694064815e-05,0.0014038348501817476,0.042857591179730974,0.5002999995500002,0.300134999949375,1.1499995680002073
5.0581778673236834e-05,0.002442922197917202,0.052447409335118364,0.5003999989333342,0.30017999988000005,1.1499992320006553
0.00010561417289289986,0.005503239421966303,0.15396047172716554,0.5004999979166693,0.30022499976562506,1.1499988000016
0.00020446463958901555,0.009885046669611569,0.22112718305500512,0.5005999964000065,0.30026999959500017,1.1499982720033177
0.0003298388965563984,0.012537425696738283,0.13600837801081647,0.5006999942833473,0.3003149993568754,1.1499976480061465
0.0005012098923774747,0.01713709958210763,0.234496719142269,0.500799991466694,0.3003599990400007,1.1499969280104858
0.000714966709978251,0.021375681760077633,0.2180350359487382,0.5008999878500492,0.30040499863312636,1.149996112016796
0.0009759464955168718,0.026097978553862075,0.24383159332753418,0.5009999833334167,0.30044999812500234,1.1499952000256
0.0012889424077541778,0.031299591223730605,0.269617444150267,0.5010999778168008,0.3004949975043788,1.1499941920374808
0.0016433072046649856,0.03543647969108077,0.21822989197422266,0.5011999712002073,0.3005399967600058,1.149993088053084
0.00204481562527529,0.04015084206103043,0.2488724324002432,0.5012999633836427,0.3005849958806337,1.149991888073116
0.0025104860341013556,0.04656704088260654,0.33613024574457206,0.5013999542671148,0.3006299948550126,1.1499905920983446
0.003030195859044278,0.0519709824942922,0.28789621797819565,0.5014999437506328,0.30067499367189277,1.1499892001295993
0.0036272104633842846,0.05970146043400068,0.40687412214296687,0.5015999317342071,0.3007199923200246,1.1499877121677713
0.004269421147904091,0.06422106845198063,0.2488760481690076,0.5016999181178499,0.30076499078815827,1.1499861282138124
0.004987979304900771,0.07185581569966809,0.40733964950240137,0.5017999028015746,0.3008099890650443,1.1499844482687367
0.00577588874519751,0.07879094402967393,0.37542828188316024,0.5018998856853968,0.30085498713943304,1.1499826723336193
0.006637317914429801,0.0861429169232291,0.3994192962710746,0.5019998666693333,0.300899985000075,1.1499808004095966
0.007578271793538923,0.09409538791091215,0.43285049929168706,0.5020998456534034,0.3009449826357207,1.1499788324978666
0.008586204647063627,0.10079328535247041,0.3734048960899852,0.502199822537628,0.3009899800351208,1.1499767685996891
0.009672609663234565,0.10864050161709388,0.43438173553383097,0.5022997972220302,0.3010349771870259,1.149974608716385
0.010855659426756674,0.11830497635221085,0.5293757011327481,0.5023997696066355,0.30107997408018666,1.1499723528493362
0.012136019057352836,0.12803596305961623,0.537090093863891,0.5024997395914712,0.30112497070335387,1.1499700009999867
0.013522498531205815,0.13864794738529784,0.5858746362747517,0.5025997070765676,0.30116996704527843,1.1499675531698417
0.015000758207815388,0.14782596766095726,0.5186920146882538,0.5026996719619572,0.30121496309471124,1.1499650093604679
0.016589607819323362,0.15888496115079734,0.6178301404604526,0.502799634147675,0.3012599588404034,1.149962369573493
0.01826965383175381,0.16800460124304467,0.5255765348434139,0.5028995935337589,0.30130495427110576,1.1499596338106068
0.020073189085314885,0.18035352535610769,0.6927878179852992,0.5029995500202495,0.3013499493755695,1.1499568020735602
0.021979441396056416,0.1906252310741532,0.5942098869521838,0.5030995035071905,0.30139494414254603,1.1499538743641653
0.024002097883301373,0.20226564872449576,0.6684825157498665,0.5031994538946281,0.30143993856078644,1.149950850684296
0.026138931961599145,0.21368340782977735,0.6632363354172311,0.503299401082612,0.30148493261904225,1.1499477310358872
0.028397978690593982,0.22590467289948354,0.7097079467448876,0.5033993449711951,0.30152992630606484,1.1499445154209358
0.030761769709067837,0.2363791018473854,0.6281699384589157,0.5034992854604337,0.30157491961060595,1.1499412038414996
0.03325039476480915,0.24886250557413142,0.7353340067229795,0.5035992224503869,0.3016199125214172,1.1499377962996982
0.03584901391947453,0.2598619154665379,0.6673482010535402,0.5036991558411181,0.30166490502725024,1.149934292797712
0.038582053456144794,0.2733039536670261,0.7968354485220438,0.5037990855326937,0.3017098971168571,1.1499306933377837
0.04144097527666988,0.2858921820525085,0.7611569329500532,0.5038990114251841,0.30175488877898965,1.1499269979222169
0.04443049000289612,0.2989514726226238,0.7921230172641717,0.5039989334186634,0.30179988000239993,1.1499232065533764
0.04754104567040735,0.31105556675112345,0.7514944421967776,0.5040988514132096,0.3018448707758403,1.1499193192336887
0.0507976199679151,0.32565742975077444,0.8847968289047916,0.5041987653089048,0.30188986108806304,1.149915335965642
0.05419662725099663,0.33990072830815304,0.875027741542497,0.504298675005835,0.30193485092782046,1.1499112567517853
0.057726234810676035,0.35296075596794024,0.8237101942848186,0.5043985804040905,0.3019798402838652,1.1499070815947294
0.06140260257855896,0.36763677678829265,0.9133854933560883,0.5044984814037661,0.3020248291449498,1.1499028104971465
0.06521246812198692,0.38098655434279555,0.8552863411396723,0.5045983779049605,0.3020698174998272,1.1498984434617698
0.06915161519420603,0.39391470722191096,0.8425707422378413,0.5046982698077774,0.3021148053372502,1.1498939804913948
0.0732443236784314,0.40927084842253686,0.9737170747416709,0.504798157012325,0.30215979264597187,1.149889421588877
0.0774731416109925,0.4228817932561113,0.8951200746284784,0.5048980394187159,0.3022047794147454,1.1498847667571346
0.08185666134792408,0.4383519736931581,0.9981416297364402,0.5049979169270679,0.3022497656323241,1.1498800159991467
0.08636408842452636,0.45074270766022856,0.852489676818736,0.5050977894375033,0.3022947512874614,1.1498751693179536
0.09100926703014843,0.46451786056220684,0.9315024222242875,0.5051976568501496,0.3023397363689109,1.1498702267166572
0.0958177525467552,0.48084855166067697,1.0702972612321413,0.5052975190651396,0.3023847208654263,1.149865188198421
0.10077313022758162,0.49553776808264194,0.9979890351011548,0.5053973759826109,0.3024297047657615,1.1498600537664694
0.10587162980397127,0.5098499576389655,0.9892393157072892,0.5054972275027068,0.3024746880586705,1.1498548234240884
0.11114088831641422,0.5269258512442945,1.1393282650721257,0.5055970735255756,0.30251967073290753,1.1498494971746256
0.11656441071346932,0.5423522397055094,1.0673315329694737,0.5056969139513713,0.3025646527772269,1.1498440750214896
0.12213565471480382,0.5571244001334505,1.0453223382063863,0.5057967486802535,0.30260963418038306,1.1498385569681508
0.12786010652602275,0.5724451811218919,1.0841249369394397,0.5058965776123875,0.30265461493113066,1.1498329430181407
0.13374579646751317,0.5885689941490425,1.1361550926618804,0.5059964006479445,0.3026995950182246,1.149827233175052
0.13980171950825912,0.6055923040745961,1.1935131288491045,0.5060962176871012,0.30274457443041974,1.1498214274425393
0.14602155191270078,0.6219832404441662,1.1738159003536845,0.5061960286300409,0.3027895531564714,1.1498155258243181
0.1524000421887371,0.6378490276036319,1.159533167963128,0.5062958333769523,0.30283453118513465,1.1498095283241656
0.15894270835450194,0.654266616576486,1.1998010260757312,0.5063956318280309,0.30287950850516515,1.14980343494592
0.1656446942461402,0.6701985891638261,1.1878923871295812,0.5064954238834782,0.3029244851053186,1.1497972456934813
0.17250356841844308,0.6858874172302883,1.1882949914407148,0.5065952094435022,0.30296946097435073,1.1497909605708103
0.17953847203131632,0.7034903612873236,1.2981080853443758,0.5066949884083174,0.3030144361010177,1.1497845795819297
0.18675563999534778,0.7217167964031476,1.343334960159283,0.5067947606781446,0.30305941047407564,1.1497781027309233
0.19413773729423867,0.7382097298890885,1.2694996134165377,0.5068945261532117,0.3031043840822809,1.1497715300219362
0.2016852461962883,0.7547508902049626,1.2856279278092206,0.5069942847337533,0.30314935691439027,1.1497648614591751
0.20941476983708862,0.772952364080032,1.3837113199843236,0.5070940363200107,0.3031943289591604,1.1497580970469077
0.21730497159005824,0.7890201752969606,1.2901138166469945,0.5071937808122323,0.30323930020534823,1.1497512367894633
0.22537289204515965,0.8067920455101407,1.390698013023018,0.5072935181106738,0.3032842706417111,1.1497442806912326
0.23360746221146123,0.8234570166301584,1.3494126051807005,0.5073932481155978,0.30332924025700625,1.1497372287566672
0.24201834631908753,0.8410884107626291,1.41318200618202,0.5074929707272743,0.3033742090399914,1.1497300809902806
0.25060582281718197,0.8587476498094411,1.429826430969307,0.5075926858459806,0.30341917697942433,1.1497228373966473
0.2593816592174762,0.8775836400294197,1.505013414524751,0.5076923933720018,0.30346414406406297,1.1497154979804032
0.2683437135456958,0.8962054328219625,1.5101677288514679,0.5077920932056301,0.30350911028266564,1.1497080627462453
0.2774521163340754,0.9108402788379618,1.323853528859347,0.507891785247166,0.30355407562399084,1.1497005316989326
0.2867194418998611,0.9267325565785707,1.4028291160531066,0.5079914693969173,0.30359904007679706,1.1496929048432845
0.29615261187611797,0.943316997625687,1.4536746425722282,0.5080911455551999,0.3036440036298433,1.1496851821841825
0.3057451905687538,0.959257869263585,1.4370553707093834,0.5081908136223374,0.3036889662718887,1.149677363726569
0.3154956832430091,0.9750492674255276,1.445526790403284,0.5082904734986622,0.30373392799169247,1.1496694494754478
0.3254263739612614,0.9930690718252289,1.5750216655715708,0.5083901250845141,0.3037788887780143,1.1496614394358842
0.3355317521703875,1.0105378209126086,1.5641136005759408,0.5084897682802416,0.303823848619614,1.1496533336130044
0.34579923628185955,1.0267484111472065,1.5172668090446266,0.5085894029862016,0.30386880750525147,1.149645132011996
0.3562156446592506,1.0416408377391024,1.4671479175954487,0.5086890291027593,0.30391376542368714,1.1496368346381085
0.36679373275151606,1.0578088092265474,1.5487394876310951,0.5087886465302885,0.3039587223636815,1.1496284414966518
0.37755421698784325,1.07604842363272,1.6714437176265886,0.508888255169172,0.3040036783139952,1.1496199525929975
0.3884948490520993,1.0940632064256075,1.67814223745066,0.5089878549198011,0.3040486332633894,1.149611367932579
0.3995981719769185,1.110332292481922,1.607551074024413,0.509087445682576,0.3040935872006253,1.1496026875208898
0.4108659994048081,1.1267827427889612,1.6347060570280738,0.509187027357906,0.3041385401144644,1.1495939113634859
0.4222980085807801,1.1432009175971976,1.6512297579374935,0.5092865998462094,0.30418349199366856,1.1495850394659837
0.4338888637385758,1.1590855157795739,1.6423973728144847,0.5093861630479137,0.30422844282699973,1.1495760718340615
0.44561762987986975,1.1728766141293938,1.5540999682106509,0.5094857168634558,0.3042733926032201,1.1495670084734584
0.4575076731792496,1.1890043299379858,1.6910357373066247,0.5095852611932817,0.3043183413110925,1.149557849389975
0.4695553886658674,1.2047715486617754,1.6914477369144012,0.5096847959378473,0.3043632889393795,1.1495485945894728
0.48174713250385975,1.2191743837992395,1.6407486809197664,0.5097843209976177,0.3044082354768443,1.1495392440778756
0.4940899612264492,1.234282872258947,1.695321608694077,0.509883836273068,0.3044531809122503,1.149529797861167
0.5065766153927407,1.2486654166291487,1.6772890432564127,0.5099833416646828,0.30449812523436104,1.149520255945393
0.519231298571387,1.2654683178646289,1.8196747491451375,0.5100828370729568,0.3045430684319405,1.1495106183366601
0.5320281190901001,1.2796820518713108,1.7074628970783297,0.5101823223983946,0.3045880104937529,1.1495008850411368
0.5449732350395207,1.294511594942065,1.758119474281667,0.5102817975415107,0.30463295140856267,1.149491056065052
0.5580701026059774,1.3096867566456738,1.795357332385218,0.5103812624028303,0.30467789116513466,1.1494811314146967
0.5713049231269293,1.3234820520951855,1.7448001465540874,0.5104807168828882,0.30472282975223386,1.1494711110964222
0.5846895322487784,1.3384609121849138,1.8248382747886684,0.5105801608822302,0.3047677671586256,1.1494609951166417
0.598213016273558,1.3523484024779615,1.7892575208110963,0.5106795943014122,0.30481270337307564,1.1494507834818295
0.6118652079070245,1.365219163346648,1.7572954530536509,0.5107790170410007,0.3048576383843498,1.1494404761985209
0.6256523717553202,1.3787163848295723,1.8090990359617025,0.5108784290015732,0.30490257218121447,1.1494300732733125
0.6395713342529664,1.3918962497646277,1.8130350829072805,0.5109778300837174,0.3049475047524361,1.1494195747128626
0.6536152351795604,1.4043900926594062,1.7981787128847206,0.5110772201880326,0.30499243608678156,1.1494089805238898
0.667778512120362,1.4163276940801586,1.7898779387483699,0.5111765992151285,0.30503736617301797,1.1493982907131746
0.6820730950188386,1.4294582898476615,1.8709685864303571,0.5112759670656262,0.30508229499991296,1.1493875052875584
0.6964701771686044,1.4397082149765732,1.7442813871968568,0.5113753236401576,0.3051272225562341,1.149376624253944
0.7110079684911409,1.4537791322536475,1.959549521338372,0.5114746688393664,0.30517214883074967,1.149365647619295
0.7256469308184833,1.4638962327342395,1.7784830331600052,0.5115740025639073,0.3052170738122281,1.149354575390637
